1651158897.858432, 0
1651158897.872533, 1
1651158897.887172, 0
1651158897.901416, 0
1651158897.917119, 3
1651158897.933158, 4
1651158897.948181, 4
1651158897.963690, 9
1651158897.977350, 14
1651158897.991686, 17
1651158898.009006, 18
1651158898.024708, 23
1651158898.043304, 27
1651158898.057888, 31
1651158898.073810, 37
1651158898.090433, 39
1651158898.106460, 47
1651158898.130277, 50
1651158898.148599, 54
1651158898.163590, 60
1651158898.179220, 64
1651158898.193806, 68
1651158898.207921, 70
1651158898.222490, 78
1651158898.236450, 80
1651158898.250609, 84
1651158898.264159, 89
1651158898.280798, 94
1651158898.295236, 96
1651158898.309849, 99
1651158898.323107, 99
1651158898.337902, 100
1651158898.355431, 100
1651158898.369335, 100
1651158898.383881, 100
1651158898.399526, 99
1651158898.414320, 99
1651158898.427970, 99
1651158898.441821, 99
1651158898.458429, 99
1651158898.472394, 100
1651158898.486793, 100
1651158898.501518, 100
1651158898.515300, 100
1651158898.530694, 99
1651158898.545309, 100
1651158898.559648, 100
1651158898.573282, 99
1651158898.589314, 100
1651158898.602719, 99
1651158898.617411, 100
1651158898.632176, 100
1651158898.646665, 99
1651158898.660890, 100
1651158898.675546, 99
1651158898.689191, 100
1651158898.702985, 99
1651158898.718518, 99
1651158898.732185, 100
1651158898.745968, 99
1651158898.759717, 100
1651158898.774168, 99
1651158898.787835, 99
1651158898.801505, 99
1651158898.816111, 99
1651158898.830815, 99
1651158898.844490, 99
1651158898.858573, 100
1651158898.875119, 99
1651158898.888591, 100
1651158898.909871, 99
1651158898.923807, 99
1651158898.938933, 98
1651158898.953673, 99
1651158898.967335, 99
1651158898.981341, 99
1651158898.994661, 100
1651158899.010157, 100
1651158899.023890, 99
1651158899.038378, 100
1651158899.054207, 100
1651158899.069147, 100
1651158899.082952, 99
1651158899.098065, 98
1651158899.111538, 100
1651158899.125243, 99
1651158899.140483, 96
1651158899.154905, 99
1651158899.170442, 99
1651158899.189270, 98
1651158899.203635, 100
1651158899.218351, 97
1651158899.233103, 98
1651158899.247855, 98
1651158899.261476, 98
1651158899.275084, 99
1651158899.290786, 100
1651158899.314281, 100
1651158899.330422, 100
1651158899.345023, 100
1651158899.358803, 98
1651158899.372883, 97
1651158899.386718, 100
1651158899.400167, 97
1651158899.413723, 99
1651158899.427667, 96
1651158899.442462, 97
1651158899.456271, 96
1651158899.470734, 98
